노드아이디,노드유형,노드명칭,회전제한유무,노드영문명,엑스좌표,와이좌표,이전노드아이디,편집일자,비고
1070006800,도로교차점,월계2교,Y,Wolgye2Gyo,127.04956,37.6242,1070006800,2008-03-25,
2400006200,도로교차점,양동초등학교고송분교1,N,Yangdongchodeunghakgyogosongbungyo1,127.69872,37.48555,,,KOTI원본에서 추출(내업)
2330019000,도로교차점,사강우체국1,N,Sagangucheguk1,126.73962,37.21361,,,
2330018900,도로교차점,사강우체국,N,Sagangucheguk,126.74003,37.21344,,,
2300004700,도로교차점,모가면사무소삼거리,N,Mogamyeonsamusosamgeori,127.48052,37.17153,,,
2330009900,도로교차점,서신면사무소,N,Seosinmyeonsamuso,126.70785,37.16736,,,
2230001100,도로교차점,초평동사무소앞삼거리,N,Chopyeongdongsamusoapsamgeori,127.03987,37.1403,,,
2310004100,도로교차점,안성2동주민센터,N,Anseong2Dongjuminsenteo,127.27041,37.00084,,,
2330014500,도로교차점,남양우림아파트,N,Namyangurim Apt.,126.80292,37.20494,,,
2310008100,도로교차점,수정연립,N,Sujeongyeollip,127.26844,37.0138,,,
2310008300,도로교차점,창명연립,N,Changmyeongyeollip,127.25026,37.01431,,,
2330019500,도로교차점,신성아파트,N,Shinsung Apt.,126.72995,37.21536,,,
2150000300,속성변화점,삼익빌라,N,Samikbilla,127.09842,37.89053,,,
2150000900,속성변화점,외인빌라,N,Oeinbilla,127.08056,37.89437,,,
2150002000,도로교차점,서울병원사거리,N,Seoulbyeongwonsageori,127.0347,37.90847,,,
2330000500,도로시종점,발안천,N,Barancheon,126.87291,37.04989,,,
2330000200,도로교차점,남양호1,N,Namyangho1,126.8577,37.02932,,,
2330000100,도로시설물,남양호,N,Namyangho,126.85746,37.029,,,
2330000400,도로교차점,장안1교,N,Jangan1Gyo,126.8527,37.04655,,,
2290012700,도로교차점,박미교,N,Bangmigyo,126.84098,37.85989,,,
2290006900,도로교차점,영장2교,N,Yeongjang2Gyo,126.9105,37.77578,,,
2290015200,도로교차점,금곡교5,N,Geumgokgyo5,126.87742,37.88767,,,
2290018200,도로시설물,비룡대교1,N,Biryongdaegyo1,126.91731,37.98533,,,
2380000700,도로시설물,비룡대교2,N,Biryongdaegyo2,126.91916,37.989,,,
2310002600,도로교차점,계동교1,N,Gyedonggyo1,127.26946,36.99125,,,
2310001100,도로교차점,구수교2,N,Gusugyo2,127.26233,36.96872,,,
2310001000,도로교차점,구수교3,N,Gusugyo3,127.26231,36.96851,,,
2310003300,도로교차점,금강교,N,Geumganggyo,127.32602,36.99833,,,
2310000800,도로시설물,대동교1,N,Daedonggyo1,127.31015,36.96089,,,
2310000700,도로시설물,대동교2,N,Daedonggyo2,127.30991,36.9605,,,
2330005700,도로시설물,수직교1,N,Sujikgyo1,126.99894,37.12335,,,
2230003100,도로교차점,운암고가,N,Unamgoga,127.08313,37.15894,,,
2330013600,도로시설물,석우교1,N,Seogugyo1,127.08499,37.2037,,,
2330013300,도로시설물,석우교2,N,Seogugyo2,127.08573,37.2028,,,
2330011300,도로교차점,세마교1,N,Semagyo1,127.00594,37.18746,,,
2330015400,도로교차점,병점육교1,N,Byeongjeomyukgyo1,127.03032,37.2091,,,
2330015200,도로교차점,병점육교,N,Byeongjeomyukgyo,127.02864,37.20848,,,
2310015000,도로시설물,명당교1,N,Myeongdanggyo1,127.2014,37.05136,,,
2310014900,도로시설물,명당교,N,Myeongdanggyo,127.20254,37.05043,,,
2310026200,도로시설물,난실교1,N,Nansilgyo1,127.2215,37.10995,,,
2310026100,도로시설물,난실교,N,Nansilgyo,127.2213,37.10943,,,
2310025700,도로교차점,노곡2교,N,Nogok2Gyo,127.24788,37.10802,,,
2310025200,도로시설물,제1노곡교1,N,Je1Nogokgyo1,127.23453,37.10601,,,
2310025000,도로시설물,제1노곡교2,N,Je1Nogokgyo2,127.23419,37.10561,,,
2300021000,도로교차점,백우리입구,N,Baeguriipgu,127.49318,37.34108,,,
2310016900,도로교차점,고삼교북측,N,Gosamgyobukcheuk,127.25596,37.06472,,,
2310016800,도로교차점,고삼교남측,N,Gosamgyonamcheuk,127.25599,37.0645,,,
2310016500,도로교차점,고삼교앞,N,Gosamgyoap,127.25617,37.06335,,,
2310020700,도로교차점,고삼교,N,Gosamgyo,127.26075,37.08176,,,
2310020200,도로교차점,남풍교1,N,Nampunggyo1,127.30776,37.07849,,,
2310020100,도로교차점,남풍교,N,Nampunggyo,127.30777,37.07829,,,
2310005500,도로교차점,백성교1,N,Baekseonggyo1,127.28078,37.00529,,,
2310005400,도로교차점,백성교2,N,Baekseonggyo2,127.28133,37.0052,,,
2310005200,도로교차점,백성교,N,Baekseonggyo,127.28157,37.00495,,,
2310020600,도로교차점,봉산1교,N,Bongsan1Gyo,127.26758,37.08163,,,
2310004600,도로교차점,옥천교,N,Okcheongyo,127.27817,37.00249,,,
2310027200,도로시설물,미산3교2,N,Misan3Gyo2,127.25474,37.12134,,,미산3교종점
2310027100,도로시설물,미산3교,N,Misan3Gyo,127.25461,37.12114,,,미산3교시점
2310022800,도로시설물,시가지정미교1,N,Sigajijeongmigyo1,127.47906,37.09573,,,
2310022600,도로시설물,시가지정미교,N,Sigajijeongmigyo,127.47883,37.09444,,,
2300005500,도로교차점,소사리입구1,N,Sosariipgu1,127.47821,37.1818,,,
2390002400,도로시설물,무당소교1,N,Mudangsogyo1,127.49021,37.65443,,,
2390002500,도로시설물,무당소교2,N,Mudangsogyo2,127.48962,37.65473,,,
2370016200,IC및JC,여주IC,N,YeojuIC,127.67376,37.34512,,,
2300000500,도로시설물,총곡교2,N,Chonggokgyo2,127.60046,37.08077,,,
2300001200,도로교차점,고당교차로,N,Godanggyocharo,127.5498,37.1029,,,
2300000900,도로시설물,고당천교,N,Godangcheongyo,127.54886,37.10116,,,
2370002000,도로교차점,심석교1,N,Simseokgyo1,127.5895,37.19799,,,
2370001900,도로교차점,심석교,N,Simseokgyo,127.58883,37.19771,,,
2390001900,도로시설물,상촌교3,N,Sangchongyo3,127.49985,37.64695,,,
2390001800,도로시설물,상촌교4,N,Sangchongyo4,127.49925,37.64683,,,
2390001200,도로시설물,설곡교1,N,Seolgokgyo1,127.5191,37.6207,,,
2390001300,도로시설물,설곡교2,N,Seolgokgyo2,127.51815,37.62113,,,
2370002800,도로시설물,삼합교,N,Samhapgyo,127.71948,37.20158,,,
2400012700,도로교차점,너루교,N,Neorugyo,127.69147,37.51003,,,KOTI원본에서 추출(내업)
2360005800,도로교차점,구읍교,N,Gueupgyo,127.22287,37.88699,,,
2360012100,도로시설물,사정교1,N,Sajeonggyo1,127.12361,37.96116,,,
2360012000,도로교차점,사정교,N,Sajeonggyo,127.1239,37.96089,,,
2360009800,도로시설물,신서교1,N,Sinseogyo1,127.22287,37.93664,,,
2360009700,도로시설물,신서교,N,Sinseogyo,127.22364,37.93647,,,
2360010400,도로시설물,심곡2교1,N,Simgok2Gyo1,127.198,37.94199,,,
2360010300,도로시설물,심곡2교,N,Simgok2Gyo,127.20062,37.94167,,,
2360007400,도로교차점,명덕교,N,Myeongdeokgyo,127.27611,37.90049,,,
2390015400,도로시설물,신상교1,N,Sinsanggyo1,127.35474,37.84566,,,
2390015300,도로시설물,신상교,N,Sinsanggyo,127.35495,37.84516,,,
2360005200,도로시종점,강규대교1,N,Ganggyudaegyo1,127.2784,37.87776,,,
2390018500,도로시설물,다락터교1,N,Darakteogyo1,127.38881,37.91673,,,
2390018400,도로시설물,다락터교,N,Darakteogyo,127.3888,37.91666,,,
2390019400,도로시설물,적목1교,N,Jeongmok1Gyo,127.44905,37.96371,,,
2390016500,도로시설물,가북교북측,N,Gabukgyobukcheuk,127.52724,37.8761,,,
2390016300,속성변화점,가북교남측,N,Gabukgyonamcheuk,127.52773,37.87485,,,
2390018000,도로시설물,남종교1,N,Namjonggyo1,127.55948,37.90465,,,
2390017900,도로시설물,남종교,N,Namjonggyo,127.5593,37.90421,,,
2390017700,도로교차점,성황당교1,N,Seonghwangdanggyo1,127.56091,37.89746,,,
2390017600,도로교차점,성황당교,N,Seonghwangdanggyo,127.56068,37.89696,,,
2390016100,도로시종점,앞말교,N,Ammalgyo,127.53542,37.86872,,,
2390020100,도로교차점,화악터널1,N,Hwaakteoneol1,127.52605,37.99822,,,KOTI원본에서 추출(내업)
2390020000,도로시설물,화악터널,N,Hwaakteoneol,127.52285,37.99408,,,KOTI원본에서 추출(내업)
2330027900,도로시설물,동화교1,N,Donghwagyo1,126.85922,37.2686,,,
2330028000,도로시설물,동화교2,N,Donghwagyo2,126.86088,37.26972,,,
1030002402,IC및JC,독서당길-동호로진입램프,N,Dokseodang-gil-Donghorojinipraempeu,127.01666,37.54341,1030002400,2008-05-10,
1210006800,도로교차점,제일약품,Y,"Jeil Pharmaceutical Co.,Ltd.",127.02108,37.50351,1210006800,2008-03-25,
1210001001,IC및JC,코리아나,N,Koriana,127.02384,37.48304,1210001000,2008-03-25,
1220000907,IC및JC,남부순환로진입,N,Nambusunhwallojinip,127.09771,37.49182,1220000900,2008-05-10,
1220000905,IC및JC,남부순환로동부-남부순환로북부진입램프,N,Nambusunhwallodongbu-Nambusunhwallobukbujinipraem*,127.09755,37.49175,1220000900,2008-05-10,
1220000906,IC및JC,밤고개길진입,N,Bamgogaegiljinip,127.09769,37.49152,1220000900,2008-05-10,
1210000501,IC및JC,양재IC진출,N,YangjaeICJinchul,127.03781,37.46194,1210000500,2008-03-25,
1210005400,도로교차점,방배4동지구대,N,Bangbae4Dongjigudae,126.98687,37.49145,1210005400,2008-03-25,
1220002602,IC및JC,올림픽대로진입,N,Ollimpikdaerojinip,127.05295,37.52503,1220002600,2008-05-10,
1210003200,도로교차점,영동1교북단,N,Yeongdong1Gyobukdan,127.03852,37.47573,1210003200,2008-03-25,
1230014502,IC및JC,잠실대교진입,N,Jamsildaegyojinip,127.08842,37.51739,1230014500,2008-04-08,
1040004600,도로교차점,군자삼거리1,N,Gunjasamgeori1,127.07493,37.5542,1040004600,2008-03-25,
1240005700,도로교차점,암사시장,N,Amsasijang,127.12798,37.55145,1240005700,2008-03-25,
1240000400,도로교차점,천호신사거리,Y,Cheonhosinsageori,127.12639,37.53768,1240000400,2008-03-25,
1210002901,IC및JC,한국IT전문학교,N,HangukITJeonmunhakgyo,127.0306,37.47382,1210002900,2008-05-10,
1210008905,IC및JC,양재IC진입,N,YangjaeICJinip,127.04069,37.4628,1210008900,2008-04-08,
1210008906,IC및JC,양재IC진출,N,YangjaeICJinchul,127.04037,37.46258,1210008900,2008-05-10,
1240003500,도로교차점,신동아아파트입구,N,Sindongaapateuipgu,127.14692,37.54063,1240003500,2008-03-25,
1030002401,IC및JC,현대자동차옥수대리점,Y,Hyeondaejadongchaoksudaerijeom,127.01606,37.54451,1030002400,2008-05-10,
1220004100,도로교차점,개포고교,N,Gaepogogyo,127.05798,37.48475,1220004100,2008-03-25,
1240003000,도로교차점,성내장미맨션,N,Seongnaejangmimaensyeon,127.12271,37.5327,1240003000,2008-03-25,
1220001100,IC및JC,탄천하수처리장,N,Tancheonhasucheorijang,127.09071,37.49628,1220001100,2008-04-08,
1030003300,도로교차점,성수중교,Y,Seongsujunggyo,127.03773,37.5488,1030003300,2008-03-25,
1230000403,IC및JC,송파IC진출,N,SongpaICJinchul,127.12781,37.47399,1230000400,2008-05-10,
1230000402,IC및JC,송파IC진출,N,SongpaICJinchul,127.12679,37.47284,1230000400,2008-05-10,
1030001500,도로교차점,뚝도정수사업소,Y,Ttukdojeongsusaeopso,127.04381,37.54012,1030001500,2008-03-25,
1230000601,IC및JC,동양강철,N,Dongyanggangcheol,127.12884,37.47554,1230000600,2008-05-10,
1230000603,IC및JC,장지IC,Y,JangjiIC,127.12978,37.47536,1230000600,2008-05-10,
1240004800,도로교차점,신암초교입구,Y,Sinamchogyoipgu,127.12667,37.54788,1240004800,2008-03-25,
1230003000,행정경계,서울시-하남시 경계1,N,Seoul-Hanam-si Gyeonggye1,127.15743,37.4903,1230003000,2008-03-25,
1240000800,도로교차점,강동연세의원,Y,Gangdongyeonseuiwon,127.17017,37.54556,1240000800,2008-03-25,
1210001600,도로교차점,잠원IC,Y,JamwonIC,127.01615,37.50946,1210001600,2008-03-25,
1210001100,IC및JC,외교센터,N,Oegyosenteo,127.02876,37.48374,1210001100,2008-04-08,
1220000909,IC및JC,수서주공1단지,N,Suseojugong1Danji,127.09893,37.48975,1220000900,2008-05-10,
1220003400,도로교차점,소정빌딩,Y,Sojeong Bldg.,127.04352,37.48035,1220003400,2008-03-25,
1020002400,도로교차점,호텔캐피탈,Y,Hotelkaepital,126.99127,37.52981,1020002400,2008-03-25,
1210006700,도로교차점,서초한양아파트,Y,Seocho Hanyang Apt.,127.01153,37.50257,1210006700,2008-03-25,
1030003700,도로교차점,응봉금호벽산아파트,N,Eungbonggeumhobyeoksan Apt.,127.02476,37.55243,1030003700,2008-03-25,
1210008902,IC및JC,양재IC진출,N,YangjaeICJinchul,127.03935,37.46423,1210008900,2008-04-08,
1210008901,IC및JC,양재IC진입,N,YangjaeICJinip,127.03894,37.46408,1210008900,2008-05-10,
1020001103,IC및JC,서빙고로진입,N,Seobinggorojinip,126.98664,37.5199,1020001100,2008-04-08,
1020001101,IC및JC,동작대로진입,N,Dongjakdaerojinip,126.98494,37.51984,1020001100,2008-04-08,
1020000900,도로교차점,신동아쇼핑,N,Sindongasyoping,126.98548,37.51784,1020000900,2008-03-25,
1240001202,IC및JC,반달길진출,N,Bandalgiljinchul,127.12317,37.55069,1240001200,2008-04-08,
1220006200,도로교차점,수서경찰서,N,Suseo Police Station,127.07617,37.49253,1220006200,2008-03-25,
1230000604,IC및JC,송파IC진출,N,SongpaICJinchul,127.12693,37.47523,1230000600,2008-05-10,
1220009702,IC및JC,올림픽대로램프분기점,N,Ollimpikdaeroraempeubungijeom,127.0615,37.5216,1220009700,2008-05-10,
1220009700,도로시종점,봉은초교,N,Bongeunchogyo,127.06134,37.52154,1220009700,2008-03-25,
1220000901,IC및JC,남부순환로-양재대로진입램프,N,Nambusunhwallo-Yangjaedaerojinipraempeu,127.09787,37.4926,1220000900,2008-05-10,
1220000902,IC및JC,남부순환로진출,N,Nambusunhwallojinchul,127.09807,37.49251,1220000900,2008-05-10,
1220000915,IC및JC,남부순환로-밤고개길진입램프,N,Nambusunhwallo-Bamgogaegiljinipraempeu,127.09663,37.4932,1220000900,2008-05-10,
1220000916,IC및JC,남부순환로-양재대로진출램프,N,Nambusunhwallo-Yangjaedaerojinchullaempeu,127.09695,37.49311,1220000900,2008-05-10,
1220000900,속성변화점,수서IC,Y,SuseoIC,127.09722,37.49245,1220000900,2008-03-25,
1180001607,IC및JC,노들길-양화대교램프분기점,N,Nodeul-gil-Yanghwadaegyoraempeubungijeom,126.90018,37.53845,1180001600,2008-04-08,
1180001405,IC및JC,올림픽대로진입,N,Ollimpikdaerojinip,126.91125,37.53125,1180001400,2008-04-08,
1040000805,IC및JC,천호대교진출,N,Cheonhodaegyojinchul,127.10478,37.54154,1040000800,2008-04-08,
1040000207,IC및JC,청담대교진입,N,Cheongdamdaegyojinip,127.07128,37.53024,1040000200,2008-04-08,
1020000304,IC및JC,반포대교진입,N,Banpodaegyojinip,126.99564,37.52011,1020000300,2008-05-10,
1180000103,IC및JC,도림천로-경인로진출로,N,Dorimcheollo-Gyeongillojinchullo,126.89019,37.51247,1180000100,2008-05-10,
1180004400,IC및JC,문래동1가,N,Mullaedong1-ga,126.8927,37.50965,1180004400,2008-04-08,
1180002110,IC및JC,성산대교진출,N,Seongsandaegyojinchul,126.89014,37.54438,,,
1180002108,IC및JC,노들길-성산로램프분기점,N,Nodeul-gil-Seongsalloraempeubungijeom,126.88957,37.54482,,,
1160000200,도로교차점,구일초교앞,N,Guilchogyoap,126.87201,37.49233,1160001000,2008-05-10,
1020000502,IC및JC,대건로진입,N,Daegeollojinip,126.95358,37.5262,1020000500,2008-04-08,
1130000113,IC및JC,마포로-강변북로램프분기점,N,Maporo-Gangbyeonbungnoraempeubungijeom,126.94129,37.53849,1130000100,2008-04-08,
1230007200,도로교차점,갤러리아펠리스,N,Gaelleoriapelliseu,127.09312,37.51029,1230007200,2008-03-25,
1170000500,도로교차점,금천교4,N,Geumcheongyo4,126.88621,37.4656,1170000500,2008-03-25,
1170003200,도로교차점,삼모,N,Sammo,126.88167,37.48006,1170003200,2008-03-25,
1170002300,도로교차점,선두문화,N,Seondumunhwa,126.88245,37.47223,1170002300,2008-03-25,
1140004100,도로교차점,양천세무서,N,Yangcheon Tax Service,126.87033,37.51975,1140004100,2008-03-25,
1140003500,도로교차점,서울출입국관리사무소,N,Seoulchuripgukgwallisamuso,126.87003,37.51847,1140003500,2008-03-25,
1120002000,도로교차점,한국경제신문사,Y,The Korea Econmic Daily,126.96743,37.56148,1120002000,2008-03-25,
1110004200,도로교차점,대조.불광시장,Y,Daejo.Bulgwangsijang,126.92682,37.60905,1110004200,2008-03-25,
1140007100,도로교차점,목동주차장,N,Mokdongjuchajang,126.87618,37.52753,1140007100,2008-03-25,
1140011200,도로교차점,목마공원,N,Mongmagongwon,126.88656,37.53773,1140011200,2008-03-25,
1080001400,도로교차점,미아역(삼양주유소앞),Y,Mia Station(Samyangjuyusoap),127.0262,37.62625,1080001400,2008-03-25,
1090002900,도로교차점,선덕고교입구,N,Seondeokgogyoipgu,127.02785,37.65762,1090002900,2008-03-25,
1130006400,도로교차점,성산1교,Y,Seongsan1Gyo,126.9031,37.56365,1130006400,2008-03-25,
1130006600,도로교차점,제일성모병원,Y,Jeilseongmobyeongwon,126.9117,37.56526,1130006600,2008-03-25,
1090003400,도로교차점,쌍문동성원아파트,Y,Ssangmundongseongwon Apt.,127.03468,37.66248,1090003400,2008-03-25,
1110002100,도로교차점,수색교,N,Susaekgyo,126.88711,37.58709,1110002100,2008-03-25,
1090000700,도로교차점,우이교,Y,Uigyo,127.03115,37.64313,1090000700,2008-03-25,
1140011800,도로교차점,월촌초등교앞,N,Wolchonchodeunggyoap,126.87504,37.53985,1140011800,2008-03-25,
1070006000,도로교차점,정릉4동사무소(솔샘로터리),N,Jeongneung4Dongsamuso(Solsaemnoteori),127.00741,37.61282,1070006000,2008-03-25,
1090001400,도로교차점,창북중교입구,N,Changbukjunggyoipgu,127.03938,37.64661,1090001400,2008-03-25,
1080002200,도로교차점,한신대,N,Hanshin Univ.,127.01354,37.63382,1080002200,2008-03-25,
1120003200,도로교차점,홍남교,N,Hongnamgyo,126.92611,37.57578,1120003200,2008-03-25,
1140009000,도로교차점,목동종합경기장남,N,Mokdongjonghapgyeonggijangnam,126.87703,37.53138,1140009000,2008-03-25,
1150001300,도로교차점,가양아파트,Y,Gayang Apt.,126.85519,37.56103,1150001300,2008-03-25,
1130007900,도로교차점,디지털미디어시티앞,N,Dijiteolmidieositiap,126.89055,37.57825,1130007900,2008-03-25,
1130007300,도로교차점,상암월드컵아파트,Y,Sangamwoldeukeop Apt.,126.88648,37.57415,1130007300,2008-03-25,
1000003400,도로교차점,사직공원,Y,Sajik park,126.96877,37.57556,1000003400,2008-03-25,
1130007700,도로교차점,상암초교4거리,N,Sangamchogyo4Geori,126.89239,37.57717,1130007700,2008-03-25,
1020005000,도로교차점,숙대입구,Y,Sukdaeipgu,126.97056,37.54494,1020005000,2008-03-25,
1130007400,도로교차점,상암월드컵2단지,N,Sangamwoldeukeop2-danji,126.8901,37.57493,1130007400,2008-03-25,
1130007200,도로교차점,난지천공원3거리,N,Nanjicheongongwon3Geori,126.88817,37.57312,1130007200,2008-03-25,
1130008100,도로교차점,상암월드컵6단지,N,Sangamwoldeukeop6-danji,126.88489,37.58151,1130008100,2008-03-25,
1130008300,도로교차점,상암월드컵7단지앞,N,Sangamwoldeukeop7Danjiap,126.88205,37.58329,1130008300,2008-03-25,
1130003200,도로교차점,중동교,N,Jungdonggyo,126.90061,37.57548,1130003200,2008-03-25,
1130006800,도로교차점,중동초등학교사거리,Y,Jungdongchodeunghakgyosageori,126.91119,37.56583,1130006800,2008-03-25,
1000006000,도로교차점,석성정,N,Seokseongjeong,126.96588,37.59247,1000006000,2008-03-25,
1110002900,도로교차점,신사사거리(강북),N,Sinsasageori(Gangbuk),126.90926,37.5963,1110002900,2008-03-25,
1080002000,도로교차점,강북보건소,Y,Gangbuk Public Health Center,127.03882,37.63289,1080002000,2008-03-25,
1110005200,도로교차점,진관사입구,N,Jingwansaipgu,126.93397,37.63731,1110005200,2008-03-25,
1110002800,도로교차점,응암시장,N,Eungamsijang,126.91808,37.59385,1110002800,2008-03-25,
1150003500,도로교차점,신길운수,N,Singirunsu,126.8383,37.53004,1150003500,2008-03-25,
1040000400,속성변화점,잠실철교북단,N,Jamsilcheolgyobukdan,127.09542,37.53392,1040000400,2008-04-08,
1040000405,IC및JC,강변북로진출,N,Gangbyeonbungnojinchul,127.095,37.53414,1040000400,2008-04-08,
1040000406,IC및JC,잠실철교선진입,N,Jamsilcheolgyoseonjinip,127.09494,37.53366,1040000400,2008-04-08,
1040000403,IC및JC,강변북로진입,N,Gangbyeonbungnojinip,127.09543,37.5344,1040000400,2008-04-08,
1180007002,IC및JC,여의동2로진입,N,Yeouidong2Rojinip,126.94088,37.51925,1180007000,2008-04-08,
1180002112,IC및JC,성산대교진출,N,Seongsandaegyojinchul,126.8914,37.54374,,,
1020002606,IC및JC,쌍용주유소앞삼거리,N,Ssangyongjuyusoapsamgeo-ri,126.95426,37.53087,1020001600,2008-04-08,
1170000700,도로교차점,광명대교,N,Gwangmyeongdaegyo,126.87355,37.48515,1170000700,2008-03-25,
1020004200,도로교차점,도화현대아파트111동,N,Dohwahyeondaeapateu111-dong,126.95613,37.54026,1020004200,2008-03-25,
1160001508,IC및JC,시흥대로-남부순환로진출램프1,N,Siheungdaero-Nambusunhwallojinchullaempeu1,126.89889,37.47752,1160001500,2008-05-10,
1190002600,도로교차점,중앙학원,Y,Junganghagwon,126.94422,37.51382,1190002600,2008-03-25,
1200002200,도로교차점,청암인터그린타워,N,Cheongam Inter Green Tower,126.92982,37.4825,1200002200,2008-03-25,
1220008400,도로교차점,현대볼링장,Y,Hyeondaebollingjang,127.06738,37.50701,1220008400,2008-03-25,
1170001004,IC및JC,호암길-금천로진입램프,N,Hoam-gil-Geumcheollojinipraempeu,126.92096,37.45029,1170001000,2008-05-10,
1040000701,IC및JC,강변북로진출,N,Gangbyeonbungnojinchul,127.09958,37.53821,1040000700,2008-04-08,
1140011900,도로교차점,한신청구아파트앞,N,Hansincheongguapateuap,126.88,37.54228,1140011900,2008-03-25,
1140008400,도로교차점,양천소방서,N,Yangcheonsobangseo,126.87267,37.52987,1140008400,2008-03-25,
1140000202,IC및JC,신월IC진출,N,SinwolICJinchul,126.83593,37.52558,1140000200,2008-04-08,
1140000201,IC및JC,신월IC진입,N,SinwolICJinip,126.83555,37.5257,1140000200,2008-04-08,
1140005800,도로교차점,오목교서편,Y,Omokgyoseopyeon,126.87795,37.52412,1140005800,2008-03-25,
1110002200,도로교차점,연세치과앞,N,Yeonsechigwaap,126.91681,37.58828,1110002200,2008-03-25,
1110001300,도로교차점,송추삼거리,N,Songchusamgeori,126.92129,37.64315,1110001300,2008-03-25,
1130003500,도로교차점,삼성래미안1차앞,N,Samsung Raemian1Chaap,126.95526,37.54201,1130003500,2008-03-25,
1150006500,도로교차점,세민정보고교앞,Y,Seminjeongbogogyoap,126.81666,37.56889,1150006500,2008-03-25,
1120003000,도로교차점,홍연아파트,N,Hongyeon Apt.,126.92667,37.57512,1120003000,2008-03-25,
1130003900,도로교차점,삼성래미안1차입구,N,Samsung Raemian1Chaipgu,126.95484,37.54471,1130003900,2008-03-25,
1020000501,IC및JC,대건로진출,N,Daegeollojinchul,126.95338,37.52576,1020000500,2008-03-25,
1130008000,도로교차점,동서콘트롤앞,N,Dongseokonteurorap,126.8946,37.57935,1130008000,2008-03-25,
1130006900,도로교차점,유원아파트,Y,Yuwon Apt.,126.91592,37.56782,1130006900,2008-03-25,
1130005800,도로교차점,망원동휴먼빌,N,Mangwondonghyumeonbil,126.89896,37.55604,1130005800,2008-03-25,
1130005100,도로교차점,희우정길,N,Huiujeonggil,126.90487,37.55208,1130005100,2008-03-25,
1130004900,도로교차점,마포소방서앞,Y,Maposobangseoap,126.93298,37.55007,1130004900,2008-03-25,
1130001504,IC및JC,내부순환로진입,N,Naebusunhwallojinip,126.89935,37.55294,1130001500,2008-04-08,
2070028300,도로교차점,한국전력공사앞2,N,Hangukjeollyeokgongsaap2,127.07995,37.73475,,,
2350092500,도로교차점,권씨상가빌딩앞,N,Gwonssisanggabildingap,127.06771,37.84076,,,
2070002801,도로교차점,헤드원호텔앞,N,Hedeuwonhoterap,127.04711,37.74115,,,
2070067500,도로교차점,경우연립앞,N,Gyeonguyeollibap,127.04647,37.75054,,,
2070060800,도로시종점,의정부1동배수펌프장앞,N,Uijeongbu1Dongbaesupeompeujangap,127.05062,37.74833,,,
2070008300,도로교차점,신일유토빌플러스앞,N,Siniryutobilpeulleoseuap,127.04883,37.7089,,,
2070079100,속성변화점,샬롬신덕교회앞,N,Syallomsindeokgyohoeap,127.03388,37.75911,,,도로명상이
2070041200,도로교차점,하이텍스코리아앞,N,Haitekseukoriaap,127.08229,37.74044,,,
2070000504,도로교차점,아이파크앞1,N,Aipakeuap1,127.04807,37.70513,,,
2070037700,도로교차점,신풍그린맨션앞,N,Sinpunggeurinmaensyeonap,127.03669,37.73889,,,
2070026600,속성변화점,C마트용현점,N,CMateuyonghyeonjeom,127.08633,37.73396,,,도로명상이
2070004203,도로교차점,백조빌라앞,N,Baekjobillaap,127.04389,37.75214,,,
2070020900,속성변화점,고산초교입구,N,Gosanchogyoipgu,127.10576,37.73052,,,어린이보호구역
